,brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
1004174,43811.0,for_sale,498855.0,5.0,4.0,,1764022.0,Fort Worth,Texas,76123.0,3971.0,
1004175,99939.0,for_sale,300000.0,4.0,2.0,0.13,1640879.0,Fort Worth,Texas,76120.0,1952.0,1/2/2009
1004176,107083.0,for_sale,295000.0,3.0,2.0,0.11,1291735.0,Fort Worth,Texas,76244.0,1637.0,3/28/2017
1004177,48789.0,for_sale,900000.0,3.0,3.0,0.59,1328390.0,Southlake,Texas,76092.0,2800.0,
1004178,61346.0,for_sale,729995.0,4.0,4.0,5.0,706044.0,Haslet,Texas,76052.0,2767.0,3/3/1994
1004179,73261.0,for_sale,769000.0,4.0,3.0,0.76,397283.0,Decatur,Texas,76234.0,2915.0,12/11/2019
1004180,109950.0,for_sale,218000.0,2.0,3.0,0.11,1429712.0,Fort Worth,Texas,76112.0,1500.0,10/8/2008
1004181,23664.0,for_sale,869000.0,4.0,3.0,1.0,418332.0,Fort Worth,Texas,76052.0,3724.0,5/30/2013
1004182,52823.0,for_sale,475000.0,4.0,3.0,0.15,770595.0,Mansfield,Texas,76063.0,3392.0,1/24/2017
1004183,94934.0,for_sale,860000.0,4.0,3.0,1.0,1339348.0,Fort Worth,Texas,76135.0,3656.0,4/17/2007
1004184,108628.0,for_sale,1499000.0,5.0,6.0,0.67,1300814.0,Colleyville,Texas,76034.0,6665.0,3/7/2007
1004185,71247.0,for_sale,371000.0,3.0,2.0,0.19,499441.0,Crowley,Texas,76036.0,1554.0,11/25/2019
1004186,36297.0,for_sale,360000.0,3.0,2.0,0.14,1360180.0,Arlington,Texas,76001.0,1580.0,
1004187,95157.0,for_sale,499900.0,4.0,3.0,0.14,490672.0,Northlake,Texas,76226.0,2798.0,7/10/2019
1004188,97921.0,for_sale,680000.0,4.0,4.0,0.32,1813818.0,Fort Worth,Texas,76131.0,2818.0,
1004189,46933.0,for_sale,524114.0,4.0,3.0,,380795.0,Weatherford,Texas,76087.0,3034.0,
1004190,60010.0,ready_to_build,397990.0,4.0,,,32023.0,Crowley,Texas,76036.0,2255.0,
1004191,103237.0,for_sale,1800000.0,5.0,8.0,0.69,1214503.0,Flower Mound,Texas,75022.0,4874.0,
1004192,95430.0,for_sale,975000.0,,,16.47,564939.0,Alvarado,Texas,76009.0,,
1004193,19927.0,for_sale,230000.0,2.0,2.0,1.55,957251.0,Newark,Texas,76071.0,1624.0,6/18/2018
1004194,22031.0,for_sale,249900.0,2.0,2.0,1.0,1602050.0,Grandview,Texas,76050.0,1754.0,
1004195,107083.0,for_sale,310000.0,3.0,2.0,0.18,326509.0,Fort Worth,Texas,76262.0,1648.0,3/3/2008
1004196,23664.0,for_sale,583500.0,4.0,4.0,0.39,376135.0,Azle,Texas,76020.0,3065.0,6/13/2016
1004197,64067.0,for_sale,350000.0,4.0,2.0,0.2,1289106.0,Fort Worth,Texas,76133.0,2327.0,12/31/2020
1004198,95611.0,for_sale,210000.0,3.0,2.0,0.58,605187.0,Nocona,Texas,76255.0,1832.0,7/15/2020
1004199,2640.0,for_sale,180000.0,2.0,1.0,0.19,1196708.0,Fort Worth,Texas,76116.0,720.0,2/9/2022
1004200,100054.0,for_sale,259000.0,4.0,2.0,0.21,1341636.0,North Richland Hills,Texas,76180.0,1838.0,5/2/1997
1004201,11310.0,for_sale,315000.0,4.0,3.0,0.22,47342.0,Newark,Texas,76071.0,1917.0,6/2/2014
1004202,78163.0,for_sale,249900.0,3.0,2.0,0.14,228745.0,Fort Worth,Texas,76104.0,1418.0,
1004203,48805.0,for_sale,379000.0,4.0,3.0,0.23,109298.0,Fort Worth,Texas,76052.0,2648.0,10/31/2017
1004204,52874.0,for_sale,250000.0,3.0,2.0,0.27,965375.0,Fort Worth,Texas,76116.0,1854.0,10/19/2016
1004205,79625.0,for_sale,314900.0,3.0,2.0,0.16,1441216.0,Denton,Texas,76226.0,1456.0,5/31/2017
